#OTU ID	Domain	Phylum	Class	Order	Family	Genus	Species
1111448	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 S24-7	 	 
1111350	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 	 
1111191	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 [Ruminococcus]	 gnavus
1110378	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Oscillospira	 
1109539	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 	 
1108422	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 S24-7	 	 
1108356	Bacteria	 Tenericutes	 Mollicutes	 RF39	 	 	 
1108078	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 	 	 
1107759	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 	 	 
1107473	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 	 
1107461	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 	 	 
1107027	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 
1105343	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiaceae	 Clostridium	 
1105328	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 Coprococcus	 
839598	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 	 	 
838200	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 	 
837859	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 	 
831922	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 	 	 
831808	Bacteria	 Proteobacteria	 Alphaproteobacteria	 	 	 	 
831409	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 	 	 
830189	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 	 	 
830080	Bacteria	 Firmicutes	 Erysipelotrichi	 Erysipelotrichales	 Erysipelotrichaceae	 	 
830014	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 	 	 
828483	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiaceae	 Clostridium	 perfringens
826624	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 	 	 
826541	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 	 	 
826382	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 	 
826302	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 Coprococcus	 
825939	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 	 	 
823803	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 
818672	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 
816642	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 
814290	Bacteria	 Actinobacteria	 Acidimicrobiia	 Acidimicrobiales	 ZA3409c	 	 
808562	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 
807795	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 
805909	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 
804483	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodobacterales	 Rhodobacteraceae	 	 
797540	Bacteria	 Bacteroidetes	 Flavobacteriia	 Flavobacteriales	 Flavobacteriaceae	 	 
789831	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodobacterales	 Rhodobacteraceae	 	 
786176	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodobacterales	 Rhodobacteraceae	 	 
785501	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodobacterales	 Rhodobacteraceae	 	 
785370	Bacteria	 Bacteroidetes	 Flavobacteriia	 Flavobacteriales	 	 	 
774258	Bacteria	 Bacteroidetes	 Flavobacteriia	 Flavobacteriales	 Cryomorphaceae	 	 
772282	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Rikenellaceae	 	 
762699	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 	 
741001	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 S24-7	 	 
730637	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodobacterales	 Rhodobacteraceae	 	 
703741	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 
700215	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodobacterales	 Rhodobacteraceae	 	 
696544	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodobacterales	 Rhodobacteraceae	 	 
692164	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodobacterales	 Rhodobacteraceae	 Octadecabacter	 
661055	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 	 	 
659616	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Pelagibacteraceae	 	 
659486	Bacteria	 Bacteroidetes	 Flavobacteriia	 Flavobacteriales	 Flavobacteriaceae	 	 
652823	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 	 
640999	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 	 	 
628226	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Peptostreptococcaceae	 	 
618899	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Oceanospirillales	 Oceanospirillaceae	 	 
593422	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 	 	 
593376	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 
593216	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiaceae	 Clostridium	 
592779	Bacteria	 Actinobacteria	 Acidimicrobiia	 Acidimicrobiales	 ZA3409c	 	 
588471	Bacteria	 Verrucomicrobia	 Verrucomicrobiae	 Verrucomicrobiales	 Verrucomicrobiaceae	 Akkermansia	 muciniphila
587244	Bacteria	 Bacteroidetes	 Flavobacteriia	 Flavobacteriales	 Flavobacteriaceae	 	 
586093	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 
585648	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodobacterales	 Rhodobacteraceae	 Loktanella	 
584571	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 
584468	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Legionellales	 Legionellaceae	 	 
