Sample	type	location
100CHE6KO	KO	CHE
101CHE6WT	WT	CHE
102CHE6WT	WT	CHE
103CHE6KO	KO	CHE
104CHE6KO	KO	CHE
105CHE6WT	WT	CHE
106CHE6WT	WT	CHE
107CHE6KO	KO	CHE
108CHE6KO	KO	CHE
109CHE6WT	WT	CHE
10CMK6KO	KO	CMK
110CHE6WT	WT	CHE
111CHE6KO	KO	CHE
112CHE6KO	KO	CHE
113CHE6WT	WT	CHE
114CHE6WT	WT	CHE
115CHE6KO	KO	CHE
116CHE6KO	KO	CHE
11CMK6WT	WT	CMK
12CMK6WT	WT	CMK
13CMK6HET	HET	CMK
14CMK6KO	KO	CMK
15CMK6HET	HET	CMK
16CMK6KO	KO	CMK
17CMK6WT	WT	CMK
18CMK6KO	KO	CMK
19CMK6WT	WT	CMK
1CMK6WT	WT	CMK
20CMK6KO	KO	CMK
21CMK6WT	WT	CMK
22CMK6KO	KO	CMK
23CMK6WT	WT	CMK
24CMK6KO	KO	CMK
25CMK6KO	KO	CMK
26CMK6WT	WT	CMK
27CMK6WT	WT	CMK
28CMK6KO	KO	CMK
29CMK6WT	WT	CMK
2CMK6KO	KO	CMK
30CMK6KO	KO	CMK
31CMK6WT	WT	CMK
32CMK6KO	KO	CMK
33CMK6WT	WT	CMK
34CMK6KO	KO	CMK
35CMK6KO	KO	CMK
36CMK6WT	WT	CMK
37CMK6WT	WT	CMK
38CMK6KO	KO	CMK
39CMK6KO	KO	CMK
3CMK6WT	WT	CMK
40CMK6WT	WT	CMK
41CMK8WT	WT	CMK
42CMK8KO	KO	CMK
43CMK8WT	WT	CMK
44CMK8KO	KO	CMK
45CMK8WT	WT	CMK
46CMK8WT	WT	CMK
47CMK8KO	KO	CMK
48CMK8KO	KO	CMK
49CMK8KO	KO	CMK
4CMK6KO	KO	CMK
50CMK8KO	KO	CMK
51CMK8WT	WT	CMK
52CMK8WT	WT	CMK
53CMK8HET	HET	CMK
54CMK8KO	KO	CMK
55CMK8HET	HET	CMK
56CMK8KO	KO	CMK
57CMK8WT	WT	CMK
58CMK8KO	KO	CMK
59CMK8WT	WT	CMK
5CMK6WT	WT	CMK
60CMK8KO	KO	CMK
61CMK8WT	WT	CMK
62CMK8KO	KO	CMK
63CMK8WT	WT	CMK
64CMK8KO	KO	CMK
65CMK8KO	KO	CMK
66CMK8WT	WT	CMK
67CMK8WT	WT	CMK
68CMK8KO	KO	CMK
69CMK8WT	WT	CMK
6CMK6WT	WT	CMK
70CMK8KO	KO	CMK
71CMK8WT	WT	CMK
72CMK8KO	KO	CMK
73CMK8WT	WT	CMK
74CMK8KO	KO	CMK
75CMK8KO	KO	CMK
76CMK8WT	WT	CMK
77CMK8WT	WT	CMK
78CMK8KO	KO	CMK
79CMK8KO	KO	CMK
7CMK6KO	KO	CMK
80CMK8WT	WT	CMK
81CHE6WT	WT	CHE
82CHE6WT	WT	CHE
83CHE6KO	KO	CHE
84CHE6KO	KO	CHE
85CHE6WT	WT	CHE
86CHE6WT	WT	CHE
87CHE6KO	KO	CHE
88CHE6KO	KO	CHE
89CHE6WT	WT	CHE
8CMK6KO	KO	CMK
90CHE6WT	WT	CHE
91CHE6KO	KO	CHE
92CHE6KO	KO	CHE
93CHE6WT	WT	CHE
94CHE6WT	WT	CHE
95CHE6KO	KO	CHE
96CHE6KO	KO	CHE
97CHE6WT	WT	CHE
98CHE6WT	WT	CHE
99CHE6KO	KO	CHE
9CMK6KO	KO	CMK
